folder,filename,genus,genus_ncbi_id,tip_name,accession
./new_sequences,CO1.new_genera.fasta,Anastrepha,28585,Anastrepha_28585,HQ677064.1;ncbi_family_name:Tephritidae;ncbi_family_id:7211
./new_sequences,CO1.new_genera.fasta,Aphanotrigonum,540849,Aphanotrigonum_540849,MZ608353.1;ncbi_family_name:Chloropidae;ncbi_family_id:29032
./new_sequences,CO1.new_genera.fasta,Apiocera,160270,Apiocera_160270,KT733559.1;ncbi_family_name:Apioceridae;ncbi_family_id:50678
./new_sequences,CO1.new_genera.fasta,Callomyia,712098,Callomyia_712098,GU559955.1;ncbi_family_name:Platypezidae;ncbi_family_id:43827
./new_sequences,CO1.new_genera.fasta,Cryptonevra,1616778,Cryptonevra_1616778,KP792766.1;ncbi_family_name:Chloropidae;ncbi_family_id:29032
./new_sequences,CO1.new_genera.fasta,Copromyza,1217530,Copromyza_1217530,HQ582012.1;ncbi_family_name:Sphaeroceridae;ncbi_family_id:114620
./new_sequences,CO1.new_genera.fasta,Corynoneura,611344,Corynoneura_611344,HM862263.1;ncbi_family_name:Chironomidae;ncbi_family_id:7149
./new_sequences,CO1.new_genera.fasta,Elgiva,320938,Elgiva_320938,JN860455.1;ncbi_family_name:Sciomyzidae;ncbi_family_id:169447
./new_sequences,CO1.new_genera.fasta,Leucopis,1728826,Leucopis_1728826,GU672791.1;ncbi_family_name:Chamaemyiidae;ncbi_family_id:189958
./new_sequences,CO1.new_genera.fasta,Hippobosca,452745,Hippobosca_452745,MW128364.1;ncbi_family_name:Hippoboscidae;ncbi_family_id:81710
./new_sequences,CO1.new_genera.fasta,Metriocnemus,137497,Metriocnemus_137497,KJ496445.1;ncbi_family_name:Chironomidae;ncbi_family_id:7149
./new_sequences,CO1.new_genera.fasta,Mallota,535942,Mallota_535942,MW474043.1;ncbi_family_name:Syrphidae;ncbi_family_id:34680
./new_sequences,CO1.new_genera.fasta,Microchrysa,931517,Microchrysa_931517,MG968153.1;ncbi_family_name:Stratiomyidae;ncbi_family_id:34687
